review_id,status,files,visible_product,target_sku,candidate_product,confidence,reason,next_action
folder03-001,create_new_confirm,"PETE6847.JPG; PETE6848.JPG; PETE6849.JPG; PETE6850.JPG","Duy Anh Yellow Corn Starch Rice Vermicelli, 200g",,,create_new,"No exact Duy Anh/corn-starch vermicelli row found in production catalog.","Create after owner confirms final PL/EN name, EAN, price, category, allergens and storage."
folder03-002,create_new_confirm,"PETE6851.JPG; PETE6852.JPG; PETE6853.JPG","Hiep Long Dac San Mien Moc / makaron platki z taro 7mm, 500g",,,create_new,"Hiep Long exists in catalog, but no exact taro 7mm 500g row found.","Create after owner confirms final name and whether this is taro/cassava noodle."
folder03-003,review_high_existing_sku,"PETE6867.JPG; PETE6868.JPG; PETE6869.JPG; PETE6870.JPG","LongKou Vermicelli bean thread / saifun, 100g",ADG-000017,"Makaron sojowy Vermicelli 100g LongKou",high,"Visible brand/product/weight match catalog row.","Candidate for existing SKU image review; do not apply until owner/user accepts."
folder03-004,create_new_confirm,"PETE6987.JPG; PETE6988.JPG; PETE6989.JPG","Farmer Brand Rice Flakes Sheet, 227g",,,create_new,"No exact Farmer rice-flakes 227g row found in production catalog.","Create after owner confirms final name/category."
folder03-005,review_high_existing_sku,"PETE6994.JPG; PETE6995.JPG; PETE6996.JPG","Farmer Brand Rice Vermicelli, 454g",ADG-000014,"Makaron ryzowy Vermicelli, nitki 454g Farmer",high,"Visible brand/product/weight match catalog row.","Candidate for existing SKU image review; do not apply until owner/user accepts."
folder03-006,create_new_confirm,"PETE6997.JPG; PETE6998.JPG; PETE6999.JPG; PETE7000.JPG","Golden Swallow Brand Kong Moon Rice Stick, 500g",,,create_new,"No exact Golden Swallow/Kong Moon rice stick 500g row found in production catalog.","Create after owner confirms final name, EAN and size/category."
folder03-007,create_new_confirm,"PETE7001.JPG; PETE7002.JPG","Chantaboon Rice Stick size 10mm XL, 375g",,,create_new,"Catalog has similar 10mm rice noodles from Farmer/Asia Kitchen, but brand/weight differ.","Create after owner confirms final brand and EAN."
folder03-008,create_new_confirm,"PETE7052.JPG","Green Bean Vermicelli / Feuille De Soja, 250g",,,create_new,"No exact green bean vermicelli 250g row found in production catalog.","Create after owner confirms brand/import label and final display name."
folder03-009,review_high_existing_sku,"PETE7053.JPG; PETE7054.JPG","Hiep Long Banh Da Do / red rice noodle, 500g",ADG-000174,"Makaron ryzowy czerwony Hiep Long 500g",high,"Visible Hiep Long Banh Da Do 500g matches catalog red rice noodle row.","Candidate for existing SKU image review; do not apply until owner/user accepts."
folder03-010,create_new_confirm,"PETE7134.JPG; PETE7135.JPG","Wai Wai Rice Vermicelli 0.5mm, 400g",,,create_new,"Catalog has ICV Bun Gao 400g, but brand/product differ; no exact Wai Wai row found.","Create after owner confirms final name/EAN."
folder03-011,review_high_existing_sku,"PETE7275.JPG; PETE7276.JPG; PETE7277.JPG; PETE7278.JPG","LongKou Vermicelli bean thread, 1kg",ADG-000280,"Makaron sojowy vermicelli LongKou 1kg, porcjowany 20 x 50g",high,"Visible LongKou vermicelli 1000g matches catalog 1kg row.","Candidate for existing SKU image review; do not apply until owner/user accepts."
folder03-012,create_new_confirm,"PETE7279.JPG; PETE7280.JPG","Golden Lotus Chinese Style Thick Quick Cooking Noodles, 375g",,,create_new,"Catalog has Golden Turtle/Long Life noodles but no exact Golden Lotus 375g row.","Create after owner confirms final name/category."
folder03-013,create_new_confirm,"PETE7347.JPG; PETE7348.JPG; PETE7349.JPG","Hiep Long Dac San Mien Moc / cassava noodle, 500g",,,create_new,"No exact Hiep Long cassava noodle 500g row found in production catalog.","Create after owner confirms final name and whether this is cassava noodle."
folder03-014,create_new_confirm,"PETE7363.JPG; PETE7364.JPG","Hiep Long My Chu rice noodle, 400g",,,create_new,"No exact Hiep Long My Chu 400g row found in production catalog.","Create after owner confirms final name/EAN."
folder03-015,create_new_confirm,"PETE7365.JPG; PETE7366.JPG","Hiep Long My Lau Thang wheat noodle, 500g",,,create_new,"No exact Hiep Long My Lau Thang 500g row found in production catalog.","Create after owner confirms final name and ingredients/allergens."
folder03-016,review_high_existing_sku,"PETE7367.JPG; PETE7368.JPG","Hiep Long Pho Ha Noi LaMi Size M rice noodles, 500g",ADG-000013,"Makaron ryzowy LaMi M do Pho 500g Hiep Long",high,"Visible Hiep Long LaMi Size M 500g matches catalog row.","Candidate for existing SKU image review; do not apply until owner/user accepts."
folder03-017,create_new_confirm,"PETE7369.JPG; PETE7370 - Kopia.JPG; PETE7370.JPG; PETE7371.JPG","Hiep Long LaMi Mien Moc glass vermicelli, 250g",,,create_new,"No exact Hiep Long LaMi Mien Moc 250g row found in production catalog.","Create after owner confirms final name/EAN."
folder03-018,create_new_confirm,"PETE7373.JPG","Wiorki kokosowe / coconut flakes, 1kg",,,create_new,"Catalog has coconut milk/powder rows but no coconut flakes 1kg row.","Create after owner confirms supplier/brand and category."
folder03-019,create_new_confirm,"PETE7374.JPG; PETE7375.JPG","Hiep Long My Lau Cuon wheat noodle, 500g",,,create_new,"No exact Hiep Long My Lau Cuon 500g row found in production catalog.","Create after owner confirms final name and ingredients/allergens."
