id,source_batch,status,files,visible_product,target_sku,candidate_product,confidence,product_url,decision,owner_notes,reason,next_action
"folder14-017","folder14-batch002","hold_confirm","PETE8099.JPG","LCT Long Cam stainless Vietnamese coffee filter / phin ca phe","","","hold","","create_new","","Kitchenware item may be sellable, but exact size, barcode and price are not visible.","Owner should confirm size/capacity, EAN if any, price and whether kitchenware should be sold online before creating SKU."
"folder14-018","folder14-batch002","create_new_confirm","PETE8101.JPG","Bamboo sushi rolling mat / makisu","","","create_new","","create_new","","Packaged retail kitchenware product; no safe existing SKU confirmed in this review pass.","Create new SKU only after owner confirms size, EAN if any, price and online category."
"folder14-019","folder14-batch002","hold_confirm","PETE8102.JPG","Black chopsticks bundle, unlabelled","","","hold","","create_new","","No packaging label, barcode, count or material details are visible.","Hold until owner confirms count, material, price and whether this is sold online."
"folder14-020","folder14-batch002","hold_confirm","PETE8104.JPG","Stainless-handle Chinese cleaver / kitchen knife","","folder14-012","hold","","create_new","","Looks related to folder14-012 from batch001, but exact model and blade size are not confirmed.","Compare with folder14-012 before creating; confirm model, size, EAN/brand, price and legal/category handling."
"folder14-021","folder14-batch002","ignore_or_supplies","PETE8105.JPG","Asia Foods paper chopstick sleeves, 100 pcs","","","skip","","skip","","This is a food-service supply/accessory rather than a normal grocery item; may also belong with disposable chopstick operations instead of retail catalog.","Skip unless owner confirms these sleeves are sold online; if sold, create supplies SKU with EAN and price."
"folder14-022","folder14-batch002","create_new_confirm","PETE8106.JPG","TQ Korean-style wooden chopsticks set, 5 pairs","","","create_new","","create_new","","Packaged retail chopstick set; no safe exact existing SKU confirmed from current review docs.","Create new SKU only after owner confirms EAN, price, material and exact pack count."
"folder14-023","folder14-batch002","create_new_confirm","PETE8107.JPG","Long hot-pot / cooking chopsticks, 1 pair","","","create_new","","create_new","","Packaged cooking chopsticks; appears distinct from disposable chopstick rows.","Create new SKU only after owner confirms length, material, EAN if any and price."
"folder14-024","folder14-batch002","hold_confirm","PETE8108.JPG","Bamboo-handle wire spider strainer / skimmer","","folder14-007","hold","","create_new","","Looks related to folder14-007 from batch001, but size and model are not confirmed.","Compare with folder14-007 before creating; confirm diameter, EAN/brand and price."
"folder14-025","folder14-batch002","hold_confirm","PETE8109.JPG; PETE8110.JPG; PETE8111.JPG","Carbon steel wok with single wooden handle","","folder14-008","hold","","skip","","Looks related to folder14-008 from batch001; photos include hands/background clutter and exact diameter is unknown.","Use only as duplicate/reference; confirm diameter/model and retake clean product photo before publishing."
"folder14-026","folder14-batch002","hold_confirm","PETE8113.JPG","Best 888 playing cards, red pack","","","hold","","create_new","","Non-food miscellaneous product; not clear whether Asia Deli Go wants this in the online storefront.","Owner should confirm if sold online, price and category before creating SKU."
"folder14-027","folder14-batch002","hold_confirm","PETE8114.JPG","Rectangular knife sharpening stone","","","hold","","create_new","","Kitchenware/tool item; no size, grit, barcode or packaging is visible.","Owner should confirm exact grit/size, EAN if any, price and category before creating SKU."
"folder14-028","folder14-batch002","ignore_or_supplies","PETE8116.JPG","Triple gas valve / burner manifold component","","","skip","","create_new","","Looks like shop equipment or industrial kitchen hardware, not a safe retail storefront product.","Skip unless owner explicitly confirms this exact hardware is sold online and provides safety/category details."
