review_id,file,issue,severity,recommended_action,notes
folder02-027,PETE7947.JPG,visible_hand,medium,drop_use_alternatives,"Hand appears above the shrimp bag. Use PETE7945/PETE7946/PETE7949 instead; no need to crop."
folder02-054,PETE8910.JPG,visible_hand,medium,drop_use_alternative,"Hand/fingers visible at the top of the pork-ball bag. Use PETE8911 instead."
folder02-063,PETE8926.JPG,visible_arm_hand,high,drop_use_alternative,"Arm/hand visibly holds the fish-slice bag. Use PETE8925 for identification; request retake for final storefront."
folder02-063,PETE8927.JPG,visible_hand,high,drop_use_alternative,"Hand visibly holds the fish-slice bag and overlaps the top label area. Use PETE8925 for identification; request retake for final storefront."
folder02-064,PETE8928.JPG,visible_hand,medium,crop_or_drop_duplicate,"Hand visible above the package. If this is the same SKU as PETE7976, prefer PETE7976; otherwise crop the top before use."
folder02-075,PETE8948.JPG,visible_hand,medium,crop_top_before_use,"Hand above shrimp tray. Crop top area if this product is confirmed; do not use original as final image."
folder02-076,PETE8949.JPG,visible_hand,medium,crop_top_before_use,"Hand visible above unagi pack. Crop top area if product is confirmed."
folder02-076,PETE8950.JPG,visible_hand,medium,crop_top_before_use,"Hand visible above unagi pack. Crop top area if product is confirmed."
folder02-079,PETE8953.JPG,visible_hand,medium,crop_top_before_use,"Hand visible above prepared seafood/eel pack. Crop top area if product is confirmed."
folder02-079,PETE8954.JPG,visible_hand,medium,crop_top_before_use,"Hand visible above prepared seafood/eel pack. Crop top area if product is confirmed."
folder02-081,PETE8956.JPG,visible_hand,high,drop_request_retake,"Hand overlaps the top label/pack area. Cropping would lose useful information; request retake if this product is needed."
folder02-081,PETE8957.JPG,visible_hand,high,drop_request_retake,"Hand overlaps the top label/pack area. Cropping would lose useful information; request retake if this product is needed."
folder02-081,PETE8958.JPG,visible_hand,high,drop_request_retake,"Hand overlaps the top label/pack area. Cropping would lose useful information; request retake if this product is needed."
folder02-082,PETE8960.JPG,visible_hand,medium,drop_use_alternative,"Hand visible above the crab/surimi tray. Use PETE8959 instead."
