id,slug,sku,category,sourceName,proposedEnglishName,sourceDescription,proposedEnglishDescription,status,notes
a8a7c088-5b8b-4b50-9a2b-8c88794a8214,KIMCHI-5284,KIMCHI-5284,Słodycze / Przekąski,Ciasteczka Squid Game spicy potato biscuits Dalgona Challenge 80g Haitai - Netlfix,Squid Game Spicy Potato Biscuits Dalgona Challenge 80g Haitai - Netflix,Ciasteczka Squid Game spicy potato biscuits Dalgona Challenge 80g Haitai - Netlfix,"Spicy potato biscuits inspired by the Squid Game series, perfect for snacking.",needs_review,review_brand_missing:Netlfix
d34271cd-63ef-4021-9eca-16eb3383ed64,KIMCHI-1105,KIMCHI-1105,Foremki,Foremka do futomaki sushi - duża rolka,Sushi Mold for Futomaki - Large Roll,"Proste i wygodne urządzenie do formowania rolek dużych rolek sushi - futomaki. Wystarczy napełnić foremkę ryżem i dodatkami, docisnąć pokrywką, a następnie przełożyć uformowany w rolkę ryż na arkusz nori i zawinąć. Gotowe! :) Dodatkowym plusem używania foremki jest identyczny kształt wszystkich rolek. Polecamy zarówno początkującym fanom sushi, jak i tym, którzy chcą udoskonalić swoją technikę. Wymiary: 24 x 7 x 7cm Kraj produkcji: Chiny",Mold for making large futomaki sushi rolls.,needs_review,review_brand_missing:duża rolka
2e2c9c88-861f-4d62-a331-1a63ce196698,KIMCHI-1071,KIMCHI-1071,Foremki,Foremka do maki sushi - mała rolka,Sushi Mold for Maki - Small Roll,"Proste i wygodne urządzenie do formowania rolek małych rolek sushi - makizushi. Wystarczy napełnić foremkę ryżem i dodatkami, docisnąć pokrywką, a następnie przełożyć uformowany w rolkę ryż na arkusz nori i zawinąć. Gotowe! :) Dodatkowym plusem używania foremki jest identyczny kształt wszystkich rolek. Polecamy zarówno początkującym fanom sushi, jak i tym, którzy chcą udoskonalić swoją technikę. Wymiary: 24 x 3,5 x 4cm Kraj produkcji: Chiny",Mold for making small maki sushi rolls.,needs_review,review_brand_missing:mała rolka
5bec9cf8-a77f-49ad-a022-de4954f377fd,KIMCHI-878,KIMCHI-878,Słodycze japońskie,Jelly Belly Bean Boozled 7th edition - Fasolki wszystkich smaków 45g,Jelly Belly Bean Boozled 7th Edition - All Flavors Beans 45g,"Fasolki Jelly Belly 7 edycja to małe, pełne smaku cukierki o zwodniczej naturze. Każdy wariant kolorystyczny ma zarówno słodki, jak i paskudny odpowiednik . Nigdy nie wiesz, na co trafisz! Czy będzie to zachęcająca niebieska jagódka, czy też pasta do zębów? Czy uda ci się skosztować apetycznego bananowego puddingu, czy też będziesz mieć wątpliwą przyjemność posmakować smaku mokrego psa? Czy jesteś na tyle odważny, by stawić czoła wyzwaniu? Jelly Belly zapewnią doskonałą zabawę zarówno małym, jak i dużym śmiałkom. Zabierz fasolki na imprezę i delektuj się wpadkami znajomych, ale uważaj! Nikt nie jest bezpieczny, nawet ty. Nienaruszone fasolki nie wydzielają żadnego zapachu, a smak poczujesz dopiero po przegryzieniu. Powodzenia! ;) Smaki w opakowaniu: Opakowanie może nie zawierać wszystkich smaków.","A mix of jelly beans with various flavors, some of which are surprising.",needs_review,review_brand_missing:wszystkich smaków
7a524bd1-a6a9-4548-b7cb-cc2cf63abcc7,KIMCHI-1176,KIMCHI-1176,Słodycze / Przekąski,Jelly Belly Bean Boozled Spinner - Fasolki wszystkich smaków 100g,Jelly Belly Bean Boozled Spinner - All Flavors Beans 100g,"Fasolki Jelly Belly to małe, pełne smaku cukierki o zwodniczej naturze. Każdy wariant kolorystyczny ma zarówno słodki, jak i paskudny odpowiednik. Nigdy nie wiesz, na co trafisz! Czy będzie to zachęcająca niebieska jagódka, czy też pasta do zębów? Czy uda ci się skosztować apetycznego czekoladowego puddingu, czy też będziesz mieć wątpliwą przyjemność posmakować karmy dla psów? W oferowanym opakowaniu znajdziecie aż 100 gramów fasolek w 16 smakach, ale w ośmiu kolorach. Do zestawu dołączona jest ruletka, dzięki której smaki jakie będziesz musiał zjeść to tylko kwestią szczęścia... albo pecha. To doskonała zabawa, w której uczestniczyć może kilka osób. Wkręć przyjaciół albo rodzinę! Czy jesteś na tyle odważny, by stawić czoła wyzwaniu? Jelly Belly zapewnią doskonałą zabawę zarówno małym, jak i dużym śmiałkom. Zabierz fasolki na imprezę i delektuj się wpadkami znajomych, ale uważaj! Nikt nie jest bezpieczny, nawet ty. Nienaruszone fasolki nie wydzielają żadnego zapachu, a smak poczujesz dopiero po przegryzieniu. Powodzenia! ;)",A fun assortment of jelly beans with unexpected flavors.,needs_review,review_brand_missing:wszystkich smaków
e5552ca7-094e-4fea-b639-3c2aa91e3e40,KIMCHI-1233,KIMCHI-1233,Słodycze japońskie,Jelly Belly Harry Potter - Fasolki wszystkich smaków Bertiego Botta 35g,Jelly Belly Harry Potter - Bertie Bott's Every Flavor Beans 35g,"Zakosztuj słodyczy rodem z fantastycznego świata Harry'ego Pottera. Fasolki Bertiego Botta to figlarne, żelkowe cukierki o wielu pysznych, ale i wielu ohydnych smakach. Dla małych i dużych czarodziejów, którym nie brak odwagi i chęci do dobrej zabawy. Podziel się nimi ze znajomymi. Komu przypadnie zgniłe jajko, a kto posmakuje waty cukrowej? W opakowaniu znaleźć można fasolki o smaku: bananowym, czarnego pieprzu, jagodowym, gluta z nosa, waty cukrowej, wiśniowym, cynamonowym, ziemi, dżdżownicy, woskowiny z ucha, trawy, zielonego jabłka, pieczonej pianki marshmallow, zgniłego jajka, kiełbasy, cytrynowym, mydła, tutti-frutti, wymiocin oraz arbuza. Produkt bezglutenowy i beztłuszczowy, nie zawiera orzechów, odpowiedni dla wegetarian. Opakowanie może nie zawierać wszystkich smaków. Przechowywać w suchym i chłodnym miejscu.","A selection of jelly beans inspired by the Harry Potter series, featuring all flavors.",needs_review,review_brand_missing:Bertiego Botta
fc75297c-6ce5-4147-b161-ad6be3a00ec0,KIMCHI-2927,KIMCHI-2927,*Kategoria tymczasowa,Koszyk Wioli - Rodowity Koreańczyk,Wioli Basket - Native Korean,"Poziom trzeci wtajemniczenia w kuchnię koreańską. Zestaw niezbędnych i niezastąpionych produktów, dzięki którym własnoręcznie wyczarujesz autentyczne, orientalne przysmaki. Z Koszykiem Wioli błyskawicznie zaopatrzysz się w kluczowe składniki, potrzebne do przygotowania wielu koreańskich potraw.",A themed basket featuring Korean products.,needs_review,review_brand_missing:Rodowity Koreańczyk
b4ca9175-f165-4684-9e64-d00055af4510,KIMCHI-2925,KIMCHI-2925,Kimchi,Koszyk Wioli - Znawca,Wioli Basket - Connoisseur,"Poziom drugi wtajemniczenia w kuchnię koreańską. Zestaw niezbędnych i niezastąpionych produktów, dzięki którym własnoręcznie wyczarujesz autentyczne, orientalne przysmaki. Z Koszykiem Wioli błyskawicznie zaopatrzysz się w kluczowe składniki, potrzebne do przygotowania wielu koreańskich potraw.",A themed basket featuring a selection of gourmet items.,needs_review,review_brand_missing:Znawca
876d9206-386e-45ff-8b9f-227765784e99,KIMCHI-4042,KIMCHI-4042,Napoje,"Milkis, mleczny napój gazowany o smaku bananowym z witaminami 250ml - LOTTE","Milkis, Banana Flavored Carbonated Milk Drink with Vitamins 250ml - LOTTE","Mieszkańcy Japonii i Korei przepadają za mlecznymi smakołykami. Wśród ulubionych przysmaków zachodniej Azji znajdziemy rozmaite budynie, cukierki, ciasteczka i inne desery o smaku mleka, jogurtu i śmietanki. Koreańska marka LOTTE, znana ze swoich słodkich wyrobów (m.in. Pepero , Choco-Pie ) poszła o krok dalej i wpadła na innowacyjny pomysł , by stworzyć napój jakiego jeszcze nie było. Tak powstał Milkis – delikatnie gazowany napój o orzeźwiającej, bananowej nucie z dodatkiem mleka i jogurtu . Jego jedwabista konsystencja i soczysty, jogurtowo-owocowy smak to połączenie, które gwarantuje wyjątkowe wrażenia smakowe. Czy dasz się zaskoczyć urokowi Milkis? Zachęcamy do spróbowania. :) Napój Milkis o smaku banana i jogurtu wzbogacony jest witaminami A, C oraz D3. Witamina A dba o zdrowie aparatu wzrokowego, sprzyja procesom regeneracji komórek oraz ma właściwości antynowotworowe. Witaminy D3 odpowiada za zdrowie układu kostnego oraz utrzymanie prawidłowego działania układu nerwowego. Wraz z witaminą C wspiera układ odpornościowy, zapobiegając infekcjom i zwalczając stany zapalne organizmu. Spróbuj też innych smaków Milkis ! Do wyboru melon, truskawka oraz oryginalny Milkis jogurtowy. Ostrzeżenia o alergenach – Produkt zawiera soję oraz mleko.","A carbonated milk drink with a banana flavor, enriched with vitamins.",needs_review,review_possible_claim
3880c2a1-b085-41a7-9e73-5a8f2e6940a9,KIMCHI-1364,KIMCHI-1364,Napoje,"Milkis, mleczny napój gazowany o smaku melona z witaminami 250ml - LOTTE","Milkis, Melon Flavored Carbonated Milk Drink with Vitamins 250ml - LOTTE","Mieszkańcy Japonii i Korei przepadają za mlecznymi smakołykami. Wśród ulubionych przysmaków zachodniej Azji znajdziemy rozmaite budynie, cukierki, ciasteczka i inne desery o smaku mleka, jogurtu i śmietanki. Koreańska marka LOTTE, znana ze swoich słodkich wyrobów (m.in. Pepero , Choco-Pie ) poszła o krok dalej i wpadła na innowacyjny pomysł , by stworzyć napój jakiego jeszcze nie było. Tak powstał Milkis – delikatnie gazowany napój o orzeźwiającej, cytrusowej nucie z dodatkiem mleka i jogurtu . Jego jedwabista konsystencja i soczysty, jogurtowo-owocowy smak to połączenie, które gwarantuje wyjątkowe wrażenia smakowe. Czy dasz się zaskoczyć urokowi Milkis? Zachęcamy do spróbowania. :) Napój Milkis o smaku melona wzbogacony jest witaminami A oraz D3. Witamina A dba o zdrowie aparatu wzrokowego, sprzyja procesom regeneracji komórek oraz ma właściwości antynowotworowe. Witamina D3 odpowiada za zdrowie układu kostnego oraz utrzymanie prawidłowego działania układu nerwowego i odpornościowego. Spróbuj też innych smaków Milkis ! Do wyboru truskawka, melon oraz oryginalny Milkis jogurtowy. Ostrzeżenia o alergenach – Produkt zawiera soję oraz mleko.","A carbonated milk drink with a melon flavor, enriched with vitamins.",needs_review,review_possible_claim
