id,source_batch,status,files,visible_product,target_sku,candidate_product,confidence,product_url,decision,owner_notes,reason,next_action
"folder01-040","folder01","create_new_confirm","SAU_9284.jpg","Hoang Long Tra Che Nhai Dac Biet 100g","","","","","create_new","","Owner marked create_new; previous auto label was wrong.","Create or confirm a new tea SKU before importing this image."
"folder01-041","folder01","create_new_confirm","SAU_9304.jpg","Koh-Kae Peanuts Coconut Cream Flavour Coated","","","","","create_new","","Owner marked create_new and no exact catalog hit was found.","Create or confirm a new snack SKU before importing this image."
"folder01-050","folder01","create_new_confirm","SAU_9667.jpg","Lee Kum Kee Chicken Marinade 410ml","","","","","create_new","đã có trong đơn 1 rồi, tôi đã cho cái này tạo mới. bạn kiểm tra lại link 1 xem","Owner checked sauce category and likely did not find this product.","Create or confirm a new sauce SKU before importing this image."
"folder01-051","folder01","hold_confirm","SAU_9668.jpg","Sen Soy Premium soy sauce","ADG-000477 / ADG-000478 / ADG-000515","Existing Sen Soy soy sauce candidates: ADG-000477 1L natural brewed; ADG-000478 220ml low salt; ADG-000515 150ml low salt long-brewed","needs_volume","https://asiandeligo.eshoper.pro/products/sos-sojowy-naturalnie-warzony-1l-sen-soy","create_new","","Live catalog duplicate audit found multiple Sen Soy soy sauce variants; size is unclear from review notes.","Do not create until exact volume/EAN is confirmed; map to the matching existing Sen Soy SKU if label matches."
"folder01-052","folder01","review_high_existing_sku","SAU_9669.jpg","Megachef Premium Mushroom Sauce 230g","ADG-001000","Sos ostrygowy grzybowy wegański Premium 230g - Megachef","probable_duplicate","https://asiandeligo.eshoper.pro/products/sos-ostrygowy-grzybowy-weganski-premium-230g-megachef","confirm","","Live catalog duplicate audit found probable exact SKU ADG-001000 with same brand size and product type.","Do not create; confirm image belongs to existing ADG-001000 or mark wrong."
"folder01-053","folder01","create_new_confirm","SAU_9670.jpg","Megachef Gluten-Free Soy Sauce 200ml","","","","","create_new","","Owner marked create_new and no exact catalog hit was found.","Create or confirm a new gluten-free soy sauce SKU."
"folder01-054","folder01","create_new_confirm","SAU_9677.jpg","Megachef Gluten-Free Soy Sauce 500ml","","","","","create_new","","Owner marked create_new and no exact catalog hit was found.","Create or confirm a new gluten-free soy sauce SKU."
"folder01-055","folder01","create_new_confirm","SAU_9679.jpg","Megachef Premium Mushroom Sauce 570g","ADG-001000","Related existing 230g Megachef mushroom sauce","related_different_size","https://asiandeligo.eshoper.pro/products/sos-ostrygowy-grzybowy-weganski-premium-230g-megachef","confirm","","Live catalog has same family ADG-001000 at 230g but this image appears 570g.","Create only if label confirms 570g; otherwise map to existing ADG-001000."
"folder01-056","folder01","review_possible_existing_sku","SAU_9682.jpg","Gold Plum Chinkiang Vinegar 550ml","ADG-000383","Ocet ryżowy czarny Chinkiang 550ml - Heng Shun","possible_duplicate","https://asiandeligo.eshoper.pro/products/ocet-z-czarnego-ryzu-chinkiang-550ml-heng-shun","create_new","https://asiandeligo.eshoper.pro/products/ocet-z-czarnego-ryzu-chinkiang-550ml-heng-shun
đang hiện trống, không có sản phẩm","Live catalog duplicate audit found same Chinkiang black rice vinegar 550ml but brand/label may differ.","Do not create until confirmed whether Gold Plum and Heng Shun are same sellable SKU; otherwise create a new vinegar SKU."
"folder01-058","folder01","hold_confirm","SAU_9688.jpg","Sen Soy soy sauce large bottle","ADG-000477 / ADG-000478 / ADG-000515","Existing Sen Soy soy sauce candidates: ADG-000477 1L natural brewed; ADG-000478 220ml low salt; ADG-000515 150ml low salt long-brewed","needs_volume","https://asiandeligo.eshoper.pro/products/sos-sojowy-naturalnie-warzony-1l-sen-soy","confirm","","Live catalog duplicate audit found multiple Sen Soy soy sauce variants; exact bottle volume is unclear from review notes.","Do not create until exact volume/EAN is confirmed; map to the matching existing Sen Soy SKU if label matches."
