source_batch,status,review_id,files,local_files,visible_product,target_sku,candidate_product,confidence,product_url,reason,next_action,brand_guess,size_guess,category_guess,fields_to_confirm
folder01,create_new_confirm,folder01-040,SAU_9284.jpg,/tmp/asiandeligo-owner-images/batch-001/extracted/SAU_9284.jpg,Hoang Long Tra Che Nhai Dac Biet 100g,,,,,Owner marked create_new; previous auto label was wrong.,Create or confirm a new tea SKU before importing this image.,Hoang Long,100g,Tea,"EAN, PL name, EN name, price, stock, country, dietary flags"
folder01,create_new_confirm,folder01-041,SAU_9304.jpg,/tmp/asiandeligo-owner-images/batch-002/extracted/SAU_9304.jpg,Koh-Kae Peanuts Coconut Cream Flavour Coated,,,,,Owner marked create_new and no exact catalog hit was found.,Create or confirm a new snack SKU before importing this image.,Koh-Kae,unclear,Snacks,"EAN, exact weight, PL name, EN name, price, stock, country, allergens"
folder01,create_new_confirm,folder01-050,SAU_9667.jpg,/tmp/asiandeligo-owner-images/folder01-batch003/extracted/SAU_9667.jpg,Lee Kum Kee Chicken Marinade 410ml,,,,,Owner checked sauce category and likely did not find this product.,Create or confirm a new sauce SKU before importing this image.,Lee Kum Kee,410ml,Sauces / Marinades,"EAN, PL name, EN name, price, stock, country, allergens, dietary flags"
folder01,create_new_confirm,folder01-051,SAU_9668.jpg,/tmp/asiandeligo-owner-images/folder01-batch003/extracted/SAU_9668.jpg,Sen Soy Premium soy sauce,,,,,Owner marked create_new; size is unclear from review notes.,Do not create until size/EAN is confirmed; may be an existing Sen Soy soy sauce variant.,Sen Soy,unclear,Soy sauce,"EAN, exact volume, PL name, EN name, price, stock, country, gluten-free flag"
folder01,create_new_confirm,folder01-052,SAU_9669.jpg,/tmp/asiandeligo-owner-images/folder01-batch003/extracted/SAU_9669.jpg,Megachef Premium Mushroom Sauce 230g,,Possible relation to ADG-001000,medium,,Owner marked create_new; possible catalog relation needs confirmation.,Confirm whether this is an existing Megachef SKU or create a new mushroom sauce SKU.,Megachef,230g,Sauces,"EAN, exact existing/new decision, PL name, EN name, price, stock, country, allergens"
folder01,create_new_confirm,folder01-053,SAU_9670.jpg,/tmp/asiandeligo-owner-images/folder01-batch003/extracted/SAU_9670.jpg,Megachef Gluten-Free Soy Sauce 200ml,,,,,Owner marked create_new and no exact catalog hit was found.,Create or confirm a new gluten-free soy sauce SKU.,Megachef,200ml,Soy sauce,"EAN, PL name, EN name, price, stock, country, gluten-free/vegetarian flags"
folder01,create_new_confirm,folder01-054,SAU_9677.jpg,/tmp/asiandeligo-owner-images/folder01-batch003/extracted/SAU_9677.jpg,Megachef Gluten-Free Soy Sauce 500ml,,,,,Owner marked create_new and no exact catalog hit was found.,Create or confirm a new gluten-free soy sauce SKU.,Megachef,500ml,Soy sauce,"EAN, PL name, EN name, price, stock, country, gluten-free/vegetarian flags"
folder01,create_new_confirm,folder01-055,SAU_9679.jpg,/tmp/asiandeligo-owner-images/folder01-batch003/extracted/SAU_9679.jpg,Megachef Premium Mushroom Sauce 570g,,,,,Owner marked create_new and no exact catalog hit was found.,Create or confirm a new mushroom sauce SKU.,Megachef,570g,Sauces,"EAN, PL name, EN name, price, stock, country, allergens"
folder01,create_new_confirm,folder01-056,SAU_9682.jpg,/tmp/asiandeligo-owner-images/folder01-batch003/extracted/SAU_9682.jpg,Gold Plum Chinkiang Vinegar 550ml,,Similar to ADG-000383 Chinkiang Black Rice Vinegar 550ml - Heng Shun,medium,https://asiandeligo.eshoper.pro/products/ocet-z-czarnego-ryzu-chinkiang-550ml-heng-shun,Owner marked create_new; brand may differ from existing Heng Shun catalog row.,Confirm if Gold Plum and Heng Shun are same sellable SKU; otherwise create a new vinegar SKU.,Gold Plum,550ml,Vinegar,"EAN, exact brand decision, PL name, EN name, price, stock, country"
folder01,create_new_confirm,folder01-058,SAU_9688.jpg,/tmp/asiandeligo-owner-images/folder01-batch003/extracted/SAU_9688.jpg,Sen Soy soy sauce large bottle,,,,,Owner marked create_new; size is unclear from review notes.,Do not create until exact volume/EAN is confirmed; may be a Sen Soy soy sauce variant.,Sen Soy,unclear,Soy sauce,"EAN, exact volume, PL name, EN name, price, stock, country, gluten-free flag"
